Names	total	elements
		Brachyspira sp. CAG:484 [meta_mOTU_v2_6314],
		unknown Clostridiales [meta_mOTU_v2_7697],
		Clostridium sp. CAG:710 [meta_mOTU_v2_6788],
		unknown Firmicutes [meta_mOTU_v2_7419],
		unknown Clostridiales [meta_mOTU_v2_7467],
		Mycoplasma sp. CAG:956 [meta_mOTU_v2_7596],
		unknown Alistipes [meta_mOTU_v2_7311],
		unknown Firmicutes [meta_mOTU_v2_6228],
adjp_DEU.csv	30	Staphylococcus sp. CAG:324 [meta_mOTU_v2_6946],
		unknown Prevotella [meta_mOTU_v2_6399],
		Enterococcus faecium/hirae [ref_mOTU_v2_0654],
		Clostridium sp. CAG:510 [meta_mOTU_v2_6178],
		unknown Clostridiales [meta_mOTU_v2_7306],
		Megasphaera micronuciformis [ref_mOTU_v2_4840],
		unknown Prevotella [meta_mOTU_v2_6294],
		unknown Clostridiales [meta_mOTU_v2_6647],
		unknown Firmicutes [meta_mOTU_v2_6237],
		unknown Clostridiales [meta_mOTU_v2_6080],
		unknown Clostridiales [meta_mOTU_v2_7731],
		unknown Clostridiales [meta_mOTU_v2_6272],
		Bacteroides stercorirosoris [ref_mOTU_v2_2726],
		Citrobacter sp. [ref_mOTU_v2_0076],
		unknown Clostridiales [meta_mOTU_v2_7359],
		unknown Acetobacter [meta_mOTU_v2_6063],
		unknown Clostridiales [meta_mOTU_v2_7058],
		unknown Clostridium [meta_mOTU_v2_6156],
		Veillonella sp. [ref_mOTU_v2_5068],
		unknown Clostridiales [meta_mOTU_v2_6807],
		unknown Bacteroidales [meta_mOTU_v2_7089],
		Clostridium sp. CAG:762 [meta_mOTU_v2_6739],
		Butyricicoccus pullicaecorum [ref_mOTU_v2_2510],
		Sutterella sp. CAG:351 [meta_mOTU_v2_7305],
		unknown Prevotellaceae [meta_mOTU_v2_5568],
		unknown Bacteroidaceae [meta_mOTU_v2_7579],
		Klebsiella sp. [ref_mOTU_v2_0160],
		unknown Clostridiales [meta_mOTU_v2_7752],
		Alloprevotella tannerae [ref_mOTU_v2_4636],
		Clostridium sp. CAG:914 [meta_mOTU_v2_6776],
adjp_FRA.csv	38	Streptococcus anginosus [ref_mOTU_v2_0004],
		Ruminococcus lactaris [ref_mOTU_v2_0281],
		Dialister invisus [ref_mOTU_v2_4598],
		Streptococcus sp. HSISM1 [ref_mOTU_v2_0145],
		Clostridiales bacterium VE202-14 [ref_mOTU_v2_2689],
		unknown Prevotella [meta_mOTU_v2_5555],
		unknown Porphyromonas [meta_mOTU_v2_7777],
		unknown Ruminococcus [meta_mOTU_v2_5392],
		unknown Clostridiaceae [meta_mOTU_v2_5382],
		unknown Bacteroidales [meta_mOTU_v2_6217],
		unknown Clostridiales [meta_mOTU_v2_5517],
		Porphyromonadaceae sp. [ref_mOTU_v2_1091],
		Pyramidobacter piscolens [ref_mOTU_v2_4064],
		unknown Firmicutes [meta_mOTU_v2_7689],
		unknown Lactobacillales [meta_mOTU_v2_6288],
		unknown Clostridium [meta_mOTU_v2_5585],
		Prevotella copri [ref_mOTU_v2_4448],
		unknown Firmicutes [meta_mOTU_v2_7746],
		unknown Collinsella [meta_mOTU_v2_7573],
		unknown Clostridiales [meta_mOTU_v2_7546],
		Bifidobacterium breve [ref_mOTU_v2_0157],
		unknown Acinetobacter [meta_mOTU_v2_7007],
		Clostridium saccharogumia [ref_mOTU_v2_0473],
		unknown Clostridiales [meta_mOTU_v2_6585],
		Coprococcus eutactus [ref_mOTU_v2_4210],
		Streptococcus sp. 2_1_36FAA [ref_mOTU_v2_1399],
		Parabacteroides johnsonii [ref_mOTU_v2_5296],
		Clostridium scindens [ref_mOTU_v2_0883],
		Clostridium clostridioforme [ref_mOTU_v2_0979],
		Ruminococcus gnavus [ref_mOTU_v2_0280],
		Mogibacterium timidum [ref_mOTU_v2_1136],
		unknown Clostridiales [meta_mOTU_v2_5961],
		unknown Clostridiales [meta_mOTU_v2_5735],
		unknown Ruminococcus [meta_mOTU_v2_7159],
		unknown Sutterellaceae [meta_mOTU_v2_7053],
		Alistipes obesi [ref_mOTU_v2_1825],
		Dialister succinatiphilus [ref_mOTU_v2_4885],
		unknown Firmicutes [meta_mOTU_v2_6730],
adjp_USA.csv	31	Bifidobacterium angulatum [ref_mOTU_v2_1285],
		Sutterella sp. CAG:351 [meta_mOTU_v2_7614],
		Clostridiales bacterium 41_21_two_genomes [meta_mOTU_v2_5482],
		Prevotella sp. CAG:617 [meta_mOTU_v2_6833],
		unknown Prevotella [meta_mOTU_v2_6387],
		Bacteroides sp. CAG:462 [meta_mOTU_v2_5709],
		unknown Prevotella [meta_mOTU_v2_7203],
		unknown Clostridiales [meta_mOTU_v2_6275],
		unknown Clostridiales [meta_mOTU_v2_7685],
		Erysipelotrichaceae sp. [ref_mOTU_v2_4724],
		unknown Clostridium [meta_mOTU_v2_6147],
		Blautia sp. KLE 1732 [ref_mOTU_v2_0859],
		unknown Eggerthella [meta_mOTU_v2_7512],
		Prevotella sp. CAG:873 [meta_mOTU_v2_7050],
		unknown Bacteroidales [meta_mOTU_v2_6502],
		unknown Bacteroidaceae [meta_mOTU_v2_7534],
		Coprobacillus sp. CAG:826 [meta_mOTU_v2_6390],
		Prevotella sp. CAG:1092 [meta_mOTU_v2_5903],
		unknown Prevotella [meta_mOTU_v2_7196],
		Dialister invisus [meta_mOTU_v2_7291],
		unknown Prevotella [meta_mOTU_v2_6456],
		unknown Prevotella [meta_mOTU_v2_6911],
		Desulfovibrio sp. [ref_mOTU_v2_1394],
		Dorea formicigenerans [ref_mOTU_v2_0973],
		Alistipes shahii [ref_mOTU_v2_4873],
		unknown Clostridiales [meta_mOTU_v2_6260],
		unknown Clostridiales [meta_mOTU_v2_5569],
		unknown Clostridiales [meta_mOTU_v2_5661],
		unknown Bacteroidaceae [meta_mOTU_v2_7591],
		Ruminococcus sp. CAG:724 [meta_mOTU_v2_7753],
		Prevotella stercorea [ref_mOTU_v2_1551],
