unsupervised_model,supervised_model,gene_set,normalization,task,group,label_type,num_genes,num_features,num_samples,num_classes,score,score_units
no embedding,logistic regression,all,clr,GSE72819 remission,validate,binary,57992,57992,69,2,0.5515151515151515,AUC
no embedding,logistic regression,all,clr,STAD stage,train,binary,57992,57992,416,2,0.6265140202422432,AUC
no embedding,logistic regression,all,clr,KIRC grade,train,binary,57992,57992,544,2,0.593343030696079,AUC
no embedding,logistic regression,all,clr,LUSC stage,validate,binary,57992,57992,504,2,0.6541864745898359,AUC
no embedding,logistic regression,all,clr,PAAD grade,train,binary,57992,57992,179,2,0.6156125356125356,AUC
no embedding,logistic regression,all,clr,BRCA stage,test,binary,57992,57992,1134,2,0.6252163562180029,AUC
no embedding,logistic regression,all,clr,SKCM stage,train,binary,57992,57992,249,2,0.6459146859083192,AUC
no embedding,logistic regression,all,clr,LIHC stage,train,binary,57992,57992,374,2,0.6740995115995115,AUC
no embedding,logistic regression,all,clr,THCA stage,train,binary,57992,57992,513,2,0.6794343050611314,AUC
no embedding,logistic regression,all,clr,LUAD stage,train,binary,57992,57992,542,2,0.6296058972887624,AUC
no embedding,logistic regression,all,clr,CESC grade,train,binary,57992,57992,306,2,0.7071461335477355,AUC
no embedding,logistic regression,all,clr,LIHC grade,train,binary,57992,57992,374,2,0.66897,AUC
no embedding,logistic regression,all,clr,COAD stage,train,binary,57992,57992,505,2,0.6865467496079318,AUC
no embedding,logistic regression,all,clr,UCEC stage,train,binary,57992,57992,554,2,0.6899547331571657,AUC
no embedding,logistic regression,all,clr,HNSC grade,test,binary,57992,57992,504,2,0.698141351402221,AUC
no embedding,logistic regression,all,clr,STAD grade,train,binary,57992,57992,416,2,0.7458283313325329,AUC
no embedding,logistic regression,all,clr,GSE65832 lesional,train,binary,57992,57992,40,2,0.7,AUC
no embedding,logistic regression,all,clr,LGG grade,train,binary,57992,57992,532,2,0.7692630220932107,AUC
no embedding,logistic regression,all,clr,KIRC stage,train,binary,57992,57992,544,2,0.7899621843640987,AUC
no embedding,logistic regression,all,clr,UCEC grade,train,binary,57992,57992,554,2,0.8866299122073578,AUC
no embedding,logistic regression,all,clr,GSE67785 lesional,test,binary,57992,57992,28,2,0.8666666666666666,AUC
no embedding,logistic regression,all,clr,GSE66207 disease type,train,multiclass,57992,57992,20,3,0.3333333333333333,class accuracy
no embedding,logistic regression,all,clr,GSE50244 diabetic,validate,multiclass,57992,57992,76,3,0.6333333333333333,class accuracy
no embedding,logistic regression,all,clr,GSE47944 lesional,validate,multiclass,57992,57992,63,3,0.7818181818181819,class accuracy
no embedding,logistic regression,all,z-score,GSE72819 remission,validate,binary,57992,57992,69,2,0.4656565656565657,AUC
no embedding,logistic regression,all,z-score,STAD stage,train,binary,57992,57992,416,2,0.6463677340855042,AUC
no embedding,logistic regression,all,z-score,KIRC grade,train,binary,57992,57992,544,2,0.5932668589823988,AUC
no embedding,logistic regression,all,z-score,LUSC stage,validate,binary,57992,57992,504,2,0.6585090036014406,AUC
no embedding,logistic regression,all,z-score,PAAD grade,train,binary,57992,57992,179,2,0.6921082621082622,AUC
no embedding,logistic regression,all,z-score,BRCA stage,test,binary,57992,57992,1134,2,0.6511673247689514,AUC
no embedding,logistic regression,all,z-score,SKCM stage,train,binary,57992,57992,249,2,0.6469775749858517,AUC
no embedding,logistic regression,all,z-score,LIHC stage,train,binary,57992,57992,374,2,0.661614010989011,AUC
no embedding,logistic regression,all,z-score,THCA stage,train,binary,57992,57992,513,2,0.6791668142559434,AUC
no embedding,logistic regression,all,z-score,LUAD stage,train,binary,57992,57992,542,2,0.6752416495081218,AUC
no embedding,logistic regression,all,z-score,CESC grade,train,binary,57992,57992,306,2,0.6789081988166658,AUC
no embedding,logistic regression,all,z-score,LIHC grade,train,binary,57992,57992,374,2,0.6900733333333333,AUC
no embedding,logistic regression,all,z-score,COAD stage,train,binary,57992,57992,505,2,0.7021467942282328,AUC
no embedding,logistic regression,all,z-score,UCEC stage,train,binary,57992,57992,554,2,0.6721146547597806,AUC
no embedding,logistic regression,all,z-score,HNSC grade,test,binary,57992,57992,504,2,0.6794936947110859,AUC
no embedding,logistic regression,all,z-score,STAD grade,train,binary,57992,57992,416,2,0.758782713085234,AUC
no embedding,logistic regression,all,z-score,GSE65832 lesional,train,binary,57992,57992,40,2,0.55,AUC
no embedding,logistic regression,all,z-score,LGG grade,train,binary,57992,57992,532,2,0.7523329570499382,AUC
no embedding,logistic regression,all,z-score,KIRC stage,train,binary,57992,57992,544,2,0.7735837108778714,AUC
no embedding,logistic regression,all,z-score,UCEC grade,train,binary,57992,57992,554,2,0.9128976797658864,AUC
no embedding,logistic regression,all,z-score,GSE67785 lesional,test,binary,57992,57992,28,2,0.9833333333333334,AUC
no embedding,logistic regression,all,z-score,GSE66207 disease type,train,multiclass,57992,57992,20,3,0.5333333333333333,class accuracy
no embedding,logistic regression,all,z-score,GSE50244 diabetic,validate,multiclass,57992,57992,76,3,0.5925,class accuracy
no embedding,logistic regression,all,z-score,GSE47944 lesional,validate,multiclass,57992,57992,63,3,0.9510489510489512,class accuracy
no embedding,logistic regression,all,z-ternary,GSE72819 remission,validate,binary,57992,57992,69,2,0.3797979797979798,AUC
no embedding,logistic regression,all,z-ternary,STAD stage,train,binary,57992,57992,416,2,0.6167717493501466,AUC
no embedding,logistic regression,all,z-ternary,KIRC grade,train,binary,57992,57992,544,2,0.58898900659645,AUC
no embedding,logistic regression,all,z-ternary,LUSC stage,validate,binary,57992,57992,504,2,0.6646306522609043,AUC
no embedding,logistic regression,all,z-ternary,PAAD grade,train,binary,57992,57992,179,2,0.7236467236467237,AUC
no embedding,logistic regression,all,z-ternary,BRCA stage,test,binary,57992,57992,1134,2,0.6320838351702716,AUC
no embedding,logistic regression,all,z-ternary,SKCM stage,train,binary,57992,57992,249,2,0.7165428692699491,AUC
no embedding,logistic regression,all,z-ternary,LIHC stage,train,binary,57992,57992,374,2,0.6777121489621489,AUC
no embedding,logistic regression,all,z-ternary,THCA stage,train,binary,57992,57992,513,2,0.6978523989161044,AUC
no embedding,logistic regression,all,z-ternary,LUAD stage,train,binary,57992,57992,542,2,0.6531535389733376,AUC
no embedding,logistic regression,all,z-ternary,CESC grade,train,binary,57992,57992,306,2,0.69229389572639,AUC
no embedding,logistic regression,all,z-ternary,LIHC grade,train,binary,57992,57992,374,2,0.6832400000000001,AUC
no embedding,logistic regression,all,z-ternary,COAD stage,train,binary,57992,57992,505,2,0.7156327880470088,AUC
no embedding,logistic regression,all,z-ternary,UCEC stage,train,binary,57992,57992,554,2,0.6666664542460058,AUC
no embedding,logistic regression,all,z-ternary,HNSC grade,test,binary,57992,57992,504,2,0.6989318652362131,AUC
no embedding,logistic regression,all,z-ternary,STAD grade,train,binary,57992,57992,416,2,0.7306026410564226,AUC
no embedding,logistic regression,all,z-ternary,GSE65832 lesional,train,binary,57992,57992,40,2,0.875,AUC
no embedding,logistic regression,all,z-ternary,LGG grade,train,binary,57992,57992,532,2,0.7681691125087352,AUC
no embedding,logistic regression,all,z-ternary,KIRC stage,train,binary,57992,57992,544,2,0.7642798000161113,AUC
no embedding,logistic regression,all,z-ternary,UCEC grade,train,binary,57992,57992,554,2,0.9018394648829432,AUC
no embedding,logistic regression,all,z-ternary,GSE67785 lesional,test,binary,57992,57992,28,2,1.0,AUC
no embedding,logistic regression,all,z-ternary,GSE66207 disease type,train,multiclass,57992,57992,20,3,0.4333333333333333,class accuracy
no embedding,logistic regression,all,z-ternary,GSE50244 diabetic,validate,multiclass,57992,57992,76,3,0.6316666666666666,class accuracy
no embedding,logistic regression,all,z-ternary,GSE47944 lesional,validate,multiclass,57992,57992,63,3,0.9328671328671329,class accuracy
no embedding,logistic regression,O,tpm,GSE72819 remission,validate,binary,17970,17970,69,2,0.4777777777777777,AUC
no embedding,logistic regression,O,tpm,STAD stage,train,binary,17970,17970,416,2,0.5602455616392898,AUC
no embedding,logistic regression,O,tpm,KIRC grade,train,binary,17970,17970,544,2,0.5553050488488078,AUC
no embedding,logistic regression,O,tpm,LUSC stage,validate,binary,17970,17970,504,2,0.5794749899959984,AUC
no embedding,logistic regression,O,tpm,PAAD grade,train,binary,17970,17970,179,2,0.5938319088319088,AUC
no embedding,logistic regression,O,tpm,BRCA stage,test,binary,17970,17970,1134,2,0.5590891229587628,AUC
no embedding,logistic regression,O,tpm,SKCM stage,train,binary,17970,17970,249,2,0.4801700150914922,AUC
no embedding,logistic regression,O,tpm,LIHC stage,train,binary,17970,17970,374,2,0.5514819902319902,AUC
no embedding,logistic regression,O,tpm,THCA stage,train,binary,17970,17970,513,2,0.5821285915850498,AUC
no embedding,logistic regression,O,tpm,LUAD stage,train,binary,17970,17970,542,2,0.5923982020095189,AUC
no embedding,logistic regression,O,tpm,CESC grade,train,binary,17970,17970,306,2,0.6258741006452677,AUC
no embedding,logistic regression,O,tpm,LIHC grade,train,binary,17970,17970,374,2,0.5336000000000001,AUC
no embedding,logistic regression,O,tpm,COAD stage,train,binary,17970,17970,505,2,0.6851346483198488,AUC
no embedding,logistic regression,O,tpm,UCEC stage,train,binary,17970,17970,554,2,0.5745720077717639,AUC
no embedding,logistic regression,O,tpm,HNSC grade,test,binary,17970,17970,504,2,0.5452110389610391,AUC
no embedding,logistic regression,O,tpm,STAD grade,train,binary,17970,17970,416,2,0.6835006002400961,AUC
no embedding,logistic regression,O,tpm,GSE65832 lesional,train,binary,17970,17970,40,2,0.50625,AUC
no embedding,logistic regression,O,tpm,LGG grade,train,binary,17970,17970,532,2,0.6912117669193141,AUC
no embedding,logistic regression,O,tpm,KIRC stage,train,binary,17970,17970,544,2,0.7015444018888953,AUC
no embedding,logistic regression,O,tpm,UCEC grade,train,binary,17970,17970,554,2,0.7685012541806019,AUC
no embedding,logistic regression,O,tpm,GSE67785 lesional,test,binary,17970,17970,28,2,0.8666666666666666,AUC
no embedding,logistic regression,O,tpm,GSE66207 disease type,train,multiclass,17970,17970,20,3,0.4,class accuracy
no embedding,logistic regression,O,tpm,GSE50244 diabetic,validate,multiclass,17970,17970,76,3,0.6966666666666667,class accuracy
no embedding,logistic regression,O,tpm,GSE47944 lesional,validate,multiclass,17970,17970,63,3,0.9454545454545455,class accuracy
no embedding,logistic regression,O,clr,GSE72819 remission,validate,binary,17970,17970,69,2,0.6782828282828284,AUC
no embedding,logistic regression,O,clr,STAD stage,train,binary,17970,17970,416,2,0.5885183341629334,AUC
no embedding,logistic regression,O,clr,KIRC grade,train,binary,17970,17970,544,2,0.5674093791138588,AUC
no embedding,logistic regression,O,clr,LUSC stage,validate,binary,17970,17970,504,2,0.6123665466186473,AUC
no embedding,logistic regression,O,clr,PAAD grade,train,binary,17970,17970,179,2,0.6126780626780627,AUC
no embedding,logistic regression,O,clr,BRCA stage,test,binary,17970,17970,1134,2,0.5931262704338722,AUC
no embedding,logistic regression,O,clr,SKCM stage,train,binary,17970,17970,249,2,0.6350051877004339,AUC
no embedding,logistic regression,O,clr,LIHC stage,train,binary,17970,17970,374,2,0.6025992063492063,AUC
no embedding,logistic regression,O,clr,THCA stage,train,binary,17970,17970,513,2,0.7312015095431226,AUC
no embedding,logistic regression,O,clr,LUAD stage,train,binary,17970,17970,542,2,0.6277336585955872,AUC
no embedding,logistic regression,O,clr,CESC grade,train,binary,17970,17970,306,2,0.671119116828499,AUC
no embedding,logistic regression,O,clr,LIHC grade,train,binary,17970,17970,374,2,0.6578866666666667,AUC
no embedding,logistic regression,O,clr,COAD stage,train,binary,17970,17970,505,2,0.6997218777272518,AUC
no embedding,logistic regression,O,clr,UCEC stage,train,binary,17970,17970,554,2,0.6710831754339754,AUC
no embedding,logistic regression,O,clr,HNSC grade,test,binary,17970,17970,504,2,0.6982931018257105,AUC
no embedding,logistic regression,O,clr,STAD grade,train,binary,17970,17970,416,2,0.7295894357743098,AUC
no embedding,logistic regression,O,clr,GSE65832 lesional,train,binary,17970,17970,40,2,0.7375,AUC
no embedding,logistic regression,O,clr,LGG grade,train,binary,17970,17970,532,2,0.7511866365639951,AUC
no embedding,logistic regression,O,clr,KIRC stage,train,binary,17970,17970,544,2,0.7641276605290824,AUC
no embedding,logistic regression,O,clr,UCEC grade,train,binary,17970,17970,554,2,0.9002518812709029,AUC
no embedding,logistic regression,O,clr,GSE67785 lesional,test,binary,17970,17970,28,2,1.0,AUC
no embedding,logistic regression,O,clr,GSE66207 disease type,train,multiclass,17970,17970,20,3,0.4333333333333333,class accuracy
no embedding,logistic regression,O,clr,GSE50244 diabetic,validate,multiclass,17970,17970,76,3,0.6591666666666667,class accuracy
no embedding,logistic regression,O,clr,GSE47944 lesional,validate,multiclass,17970,17970,63,3,0.9538461538461538,class accuracy
no embedding,logistic regression,O,z-score,GSE72819 remission,validate,binary,17970,17970,69,2,0.4843434343434344,AUC
no embedding,logistic regression,O,z-score,STAD stage,train,binary,17970,17970,416,2,0.6167828106852496,AUC
no embedding,logistic regression,O,z-score,KIRC grade,train,binary,17970,17970,544,2,0.5937548627022706,AUC
no embedding,logistic regression,O,z-score,LUSC stage,validate,binary,17970,17970,504,2,0.6618503401360544,AUC
no embedding,logistic regression,O,z-score,PAAD grade,train,binary,17970,17970,179,2,0.6809116809116811,AUC
no embedding,logistic regression,O,z-score,BRCA stage,test,binary,17970,17970,1134,2,0.6392610674563894,AUC
no embedding,logistic regression,O,z-score,SKCM stage,train,binary,17970,17970,249,2,0.6193772401433691,AUC
no embedding,logistic regression,O,z-score,LIHC stage,train,binary,17970,17970,374,2,0.6338873626373627,AUC
no embedding,logistic regression,O,z-score,THCA stage,train,binary,17970,17970,513,2,0.7192541133131429,AUC
no embedding,logistic regression,O,z-score,LUAD stage,train,binary,17970,17970,542,2,0.628803735312098,AUC
no embedding,logistic regression,O,z-score,CESC grade,train,binary,17970,17970,306,2,0.6326602346053146,AUC
no embedding,logistic regression,O,z-score,LIHC grade,train,binary,17970,17970,374,2,0.6633133333333333,AUC
no embedding,logistic regression,O,z-score,COAD stage,train,binary,17970,17970,505,2,0.7232430428420508,AUC
no embedding,logistic regression,O,z-score,UCEC stage,train,binary,17970,17970,554,2,0.6516827964755164,AUC
no embedding,logistic regression,O,z-score,HNSC grade,test,binary,17970,17970,504,2,0.6627070393374741,AUC
no embedding,logistic regression,O,z-score,STAD grade,train,binary,17970,17970,416,2,0.7600960384153662,AUC
no embedding,logistic regression,O,z-score,GSE65832 lesional,train,binary,17970,17970,40,2,0.775,AUC
no embedding,logistic regression,O,z-score,LGG grade,train,binary,17970,17970,532,2,0.7916673386013008,AUC
no embedding,logistic regression,O,z-score,KIRC stage,train,binary,17970,17970,544,2,0.7743826216325628,AUC
no embedding,logistic regression,O,z-score,UCEC grade,train,binary,17970,17970,554,2,0.895006793478261,AUC
no embedding,logistic regression,O,z-score,GSE67785 lesional,test,binary,17970,17970,28,2,1.0,AUC
no embedding,logistic regression,O,z-score,GSE66207 disease type,train,multiclass,17970,17970,20,3,0.4666666666666666,class accuracy
no embedding,logistic regression,O,z-score,GSE50244 diabetic,validate,multiclass,17970,17970,76,3,0.6191666666666666,class accuracy
no embedding,logistic regression,O,z-score,GSE47944 lesional,validate,multiclass,17970,17970,63,3,0.9818181818181818,class accuracy
no embedding,logistic regression,O,z-ternary,GSE72819 remission,validate,binary,17970,17970,69,2,0.3323232323232323,AUC
no embedding,logistic regression,O,z-ternary,STAD stage,train,binary,17970,17970,416,2,0.6302140368342458,AUC
no embedding,logistic regression,O,z-ternary,KIRC grade,train,binary,17970,17970,544,2,0.5661932956655542,AUC
no embedding,logistic regression,O,z-ternary,LUSC stage,validate,binary,17970,17970,504,2,0.6069115646258505,AUC
no embedding,logistic regression,O,z-ternary,PAAD grade,train,binary,17970,17970,179,2,0.6762108262108262,AUC
no embedding,logistic regression,O,z-ternary,BRCA stage,test,binary,17970,17970,1134,2,0.6282303837768282,AUC
no embedding,logistic regression,O,z-ternary,SKCM stage,train,binary,17970,17970,249,2,0.6809894359554801,AUC
no embedding,logistic regression,O,z-ternary,LIHC stage,train,binary,17970,17970,374,2,0.652293956043956,AUC
no embedding,logistic regression,O,z-ternary,THCA stage,train,binary,17970,17970,513,2,0.7075693817190019,AUC
no embedding,logistic regression,O,z-ternary,LUAD stage,train,binary,17970,17970,542,2,0.6641292882298007,AUC
no embedding,logistic regression,O,z-ternary,CESC grade,train,binary,17970,17970,306,2,0.7132985960789163,AUC
no embedding,logistic regression,O,z-ternary,LIHC grade,train,binary,17970,17970,374,2,0.6434599999999999,AUC
no embedding,logistic regression,O,z-ternary,COAD stage,train,binary,17970,17970,505,2,0.7167871086701181,AUC
no embedding,logistic regression,O,z-ternary,UCEC stage,train,binary,17970,17970,554,2,0.6609781829819894,AUC
no embedding,logistic regression,O,z-ternary,HNSC grade,test,binary,17970,17970,504,2,0.6874694146433277,AUC
no embedding,logistic regression,O,z-ternary,STAD grade,train,binary,17970,17970,416,2,0.7433541416566627,AUC
no embedding,logistic regression,O,z-ternary,GSE65832 lesional,train,binary,17970,17970,40,2,0.6375,AUC
no embedding,logistic regression,O,z-ternary,LGG grade,train,binary,17970,17970,532,2,0.756631994839542,AUC
no embedding,logistic regression,O,z-ternary,KIRC stage,train,binary,17970,17970,544,2,0.7787860247848684,AUC
no embedding,logistic regression,O,z-ternary,UCEC grade,train,binary,17970,17970,554,2,0.9048777173913044,AUC
no embedding,logistic regression,O,z-ternary,GSE67785 lesional,test,binary,17970,17970,28,2,1.0,AUC
no embedding,logistic regression,O,z-ternary,GSE66207 disease type,train,multiclass,17970,17970,20,3,0.4166666666666666,class accuracy
no embedding,logistic regression,O,z-ternary,GSE50244 diabetic,validate,multiclass,17970,17970,76,3,0.6583333333333332,class accuracy
no embedding,logistic regression,O,z-ternary,GSE47944 lesional,validate,multiclass,17970,17970,63,3,0.9076923076923076,class accuracy
no embedding,logistic regression,OT,tpm,GSE72819 remission,validate,binary,1530,1530,69,2,0.3464646464646465,AUC
no embedding,logistic regression,OT,tpm,STAD stage,train,binary,1530,1530,416,2,0.5546153420717881,AUC
no embedding,logistic regression,OT,tpm,KIRC grade,train,binary,1530,1530,544,2,0.5923648436440466,AUC
no embedding,logistic regression,OT,tpm,LUSC stage,validate,binary,1530,1530,504,2,0.5728443377350939,AUC
no embedding,logistic regression,OT,tpm,PAAD grade,train,binary,1530,1530,179,2,0.5523646723646725,AUC
no embedding,logistic regression,OT,tpm,BRCA stage,test,binary,1530,1530,1134,2,0.6005707922754905,AUC
no embedding,logistic regression,OT,tpm,SKCM stage,train,binary,1530,1530,249,2,0.6168388039992454,AUC
no embedding,logistic regression,OT,tpm,LIHC stage,train,binary,1530,1530,374,2,0.6355891330891331,AUC
no embedding,logistic regression,OT,tpm,THCA stage,train,binary,1530,1530,513,2,0.611315463223704,AUC
no embedding,logistic regression,OT,tpm,LUAD stage,train,binary,1530,1530,542,2,0.5948936920313093,AUC
no embedding,logistic regression,OT,tpm,CESC grade,train,binary,1530,1530,306,2,0.6803358278186653,AUC
no embedding,logistic regression,OT,tpm,LIHC grade,train,binary,1530,1530,374,2,0.5769933333333332,AUC
no embedding,logistic regression,OT,tpm,COAD stage,train,binary,1530,1530,505,2,0.6338070959402088,AUC
no embedding,logistic regression,OT,tpm,UCEC stage,train,binary,1530,1530,554,2,0.6470704712623169,AUC
no embedding,logistic regression,OT,tpm,HNSC grade,test,binary,1530,1530,504,2,0.5774985883681536,AUC
no embedding,logistic regression,OT,tpm,STAD grade,train,binary,1530,1530,416,2,0.6852869147659064,AUC
no embedding,logistic regression,OT,tpm,GSE65832 lesional,train,binary,1530,1530,40,2,0.6,AUC
no embedding,logistic regression,OT,tpm,LGG grade,train,binary,1530,1530,532,2,0.7084085900123636,AUC
no embedding,logistic regression,OT,tpm,KIRC stage,train,binary,1530,1530,544,2,0.7331590025890226,AUC
no embedding,logistic regression,OT,tpm,UCEC grade,train,binary,1530,1530,554,2,0.8140358486622074,AUC
no embedding,logistic regression,OT,tpm,GSE67785 lesional,test,binary,1530,1530,28,2,1.0,AUC
no embedding,logistic regression,OT,tpm,GSE66207 disease type,train,multiclass,1530,1530,20,3,0.4333333333333333,class accuracy
no embedding,logistic regression,OT,tpm,GSE50244 diabetic,validate,multiclass,1530,1530,76,3,0.6316666666666666,class accuracy
no embedding,logistic regression,OT,tpm,GSE47944 lesional,validate,multiclass,1530,1530,63,3,0.9020979020979022,class accuracy
no embedding,logistic regression,OT,clr,GSE72819 remission,validate,binary,1530,1530,69,2,0.3863636363636364,AUC
no embedding,logistic regression,OT,clr,STAD stage,train,binary,1530,1530,416,2,0.547574802278635,AUC
no embedding,logistic regression,OT,clr,KIRC grade,train,binary,1530,1530,544,2,0.5522393668060599,AUC
no embedding,logistic regression,OT,clr,LUSC stage,validate,binary,1530,1530,504,2,0.5708203281312525,AUC
no embedding,logistic regression,OT,clr,PAAD grade,train,binary,1530,1530,179,2,0.4911680911680912,AUC
no embedding,logistic regression,OT,clr,BRCA stage,test,binary,1530,1530,1134,2,0.6197448937101445,AUC
no embedding,logistic regression,OT,clr,SKCM stage,train,binary,1530,1530,249,2,0.5932430201848709,AUC
no embedding,logistic regression,OT,clr,LIHC stage,train,binary,1530,1530,374,2,0.6776877289377289,AUC
no embedding,logistic regression,OT,clr,THCA stage,train,binary,1530,1530,513,2,0.6448687340972554,AUC
no embedding,logistic regression,OT,clr,LUAD stage,train,binary,1530,1530,542,2,0.6239166441636569,AUC
no embedding,logistic regression,OT,clr,CESC grade,train,binary,1530,1530,306,2,0.580511060259344,AUC
no embedding,logistic regression,OT,clr,LIHC grade,train,binary,1530,1530,374,2,0.6290066666666666,AUC
no embedding,logistic regression,OT,clr,COAD stage,train,binary,1530,1530,505,2,0.6809349265405487,AUC
no embedding,logistic regression,OT,clr,UCEC stage,train,binary,1530,1530,554,2,0.6704322477221425,AUC
no embedding,logistic regression,OT,clr,HNSC grade,test,binary,1530,1530,504,2,0.6558641539619801,AUC
no embedding,logistic regression,OT,clr,STAD grade,train,binary,1530,1530,416,2,0.7314453781512605,AUC
no embedding,logistic regression,OT,clr,GSE65832 lesional,train,binary,1530,1530,40,2,0.7,AUC
no embedding,logistic regression,OT,clr,LGG grade,train,binary,1530,1530,532,2,0.7625799602214697,AUC
no embedding,logistic regression,OT,clr,KIRC stage,train,binary,1530,1530,544,2,0.7849332962161931,AUC
no embedding,logistic regression,OT,clr,UCEC grade,train,binary,1530,1530,554,2,0.8867077759197326,AUC
no embedding,logistic regression,OT,clr,GSE67785 lesional,test,binary,1530,1530,28,2,1.0,AUC
no embedding,logistic regression,OT,clr,GSE66207 disease type,train,multiclass,1530,1530,20,3,0.2833333333333333,class accuracy
no embedding,logistic regression,OT,clr,GSE50244 diabetic,validate,multiclass,1530,1530,76,3,0.6591666666666667,class accuracy
no embedding,logistic regression,OT,clr,GSE47944 lesional,validate,multiclass,1530,1530,63,3,0.9692307692307692,class accuracy
no embedding,logistic regression,OT,z-score,GSE72819 remission,validate,binary,1530,1530,69,2,0.3484848484848485,AUC
no embedding,logistic regression,OT,z-score,STAD stage,train,binary,1530,1530,416,2,0.5953182899175931,AUC
no embedding,logistic regression,OT,z-score,KIRC grade,train,binary,1530,1530,544,2,0.5614248138279703,AUC
no embedding,logistic regression,OT,z-score,LUSC stage,validate,binary,1530,1530,504,2,0.6041088435374149,AUC
no embedding,logistic regression,OT,z-score,PAAD grade,train,binary,1530,1530,179,2,0.6688034188034188,AUC
no embedding,logistic regression,OT,z-score,BRCA stage,test,binary,1530,1530,1134,2,0.6054414773264754,AUC
no embedding,logistic regression,OT,z-score,SKCM stage,train,binary,1530,1530,249,2,0.6336740709300133,AUC
no embedding,logistic regression,OT,z-score,LIHC stage,train,binary,1530,1530,374,2,0.646643772893773,AUC
no embedding,logistic regression,OT,z-score,THCA stage,train,binary,1530,1530,513,2,0.7058673231437697,AUC
no embedding,logistic regression,OT,z-score,LUAD stage,train,binary,1530,1530,542,2,0.6501830010388889,AUC
no embedding,logistic regression,OT,z-score,CESC grade,train,binary,1530,1530,306,2,0.6357770527965035,AUC
no embedding,logistic regression,OT,z-score,LIHC grade,train,binary,1530,1530,374,2,0.6562933333333334,AUC
no embedding,logistic regression,OT,z-score,COAD stage,train,binary,1530,1530,505,2,0.6937269434437686,AUC
no embedding,logistic regression,OT,z-score,UCEC stage,train,binary,1530,1530,554,2,0.701532544261385,AUC
no embedding,logistic regression,OT,z-score,HNSC grade,test,binary,1530,1530,504,2,0.6901844532279314,AUC
no embedding,logistic regression,OT,z-score,STAD grade,train,binary,1530,1530,416,2,0.7544153661464585,AUC
no embedding,logistic regression,OT,z-score,GSE65832 lesional,train,binary,1530,1530,40,2,0.6,AUC
no embedding,logistic regression,OT,z-score,LGG grade,train,binary,1530,1530,532,2,0.7524189646831155,AUC
no embedding,logistic regression,OT,z-score,KIRC stage,train,binary,1530,1530,544,2,0.7439376952091357,AUC
no embedding,logistic regression,OT,z-score,UCEC grade,train,binary,1530,1530,554,2,0.8813973662207358,AUC
no embedding,logistic regression,OT,z-score,GSE67785 lesional,test,binary,1530,1530,28,2,1.0,AUC
