# git tag version 2.1.1 |  motus version 2.1.1 | map_tax 2.1.1 | gene database: nr2.1.1 | calc_mgc 2.1.1 -y insert.scaled_counts -l 75 | calc_motu 2.1.1 -k mOTU -C no_CAMI -g 3 | taxonomy: ref_mOTU_2.1.1 meta_mOTU_2.1.1
# call: python /home/antonycp/tools/mOTUs_v2/motus profile -q -s /home/antonycp/Desktop/checkm_bincoverage_test/Humanclean_3831_DNAtissue_R1.fastq.gz,/home/antonycp/Desktop/checkm_bincoverage_test/Humanclean_3831_DNAtissue_R2.fastq.gz
#mOTU	consensus_taxonomy	unnamed sample
ref_mOTU_v2_0012	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales fam. [C Bacillaceae/Paenibacillaceae]|g__Bacillales gen. [C Bacillus/Paenibacillus]|s__Bacillales sp. [C Bacillus amyloliquefaciens/Bacillus subtilis/Bacillus velezensis/Bacillus siamensis/Paenibacillus polymyxa/Paenibacillus lentimorbus]	0.0000000000
ref_mOTU_v2_0013	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus brevis	0.0000000000
ref_mOTU_v2_0014	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas mendocina	0.0000000000
ref_mOTU_v2_0015	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira interrogans	0.0000000000
ref_mOTU_v2_0016	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira weilii [C]	0.0000000000
ref_mOTU_v2_0017	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira santarosai [C]	0.0000000000
ref_mOTU_v2_0018	k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira sp. [C interrogans/noguchii]	0.0000000000
ref_mOTU_v2_0019	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. [C abscessus/fortuitum]	0.0035614083
ref_mOTU_v2_0020	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus pneumoniae	0.0000000000
ref_mOTU_v2_0021	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus pseudopneumoniae	0.0000000000
ref_mOTU_v2_0022	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0023	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0024	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0025	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0026	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0027	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0028	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0029	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0030	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0031	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0032	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0033	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus mitis	0.0000000000
ref_mOTU_v2_0034	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia albertii	0.0000000000
ref_mOTU_v2_0035	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia sp. [C KTE11/KTE52/KTE96/KTE159/TW09308]	0.0000000000
ref_mOTU_v2_0036	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Enterobacteriaceae gen. [C Escherichia/Shigella]|s__Enterobacteriaceae sp. [C Escherichia coli/Escherichia fergusonii/Shigella boydii/Shigella dysenteriae/Shigella flexneri/Shigella sonnei]	0.0050382229
ref_mOTU_v2_0037	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Salmonella|s__Salmonella bongori	0.0000000000
ref_mOTU_v2_0038	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Salmonella|s__Salmonella enterica	0.0000000000
ref_mOTU_v2_0039	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Salmonella|s__Salmonella enterica	0.0000000000
ref_mOTU_v2_0040	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Salmonella|s__Salmonella enterica	0.0000000000
ref_mOTU_v2_0041	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter koseri	0.0000000000
ref_mOTU_v2_0042	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter amalonaticus [C]	0.0000000000
ref_mOTU_v2_0043	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter farmeri	0.0000000000
ref_mOTU_v2_0044	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter rodentium	0.0000000000
ref_mOTU_v2_0045	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sedlakii	0.0000000000
ref_mOTU_v2_0046	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces sp. [C coelicolor/lividans/violaceoruber/violaceorubidus]	0.0000000000
ref_mOTU_v2_0047	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Hafnia|s__Hafnia alvei	0.0000000000
ref_mOTU_v2_0048	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus rhamnosus	0.0000000000
ref_mOTU_v2_0049	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria innocua	0.0000000000
ref_mOTU_v2_0050	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Yokenella|s__Yokenella regensburgei	0.0000000000
ref_mOTU_v2_0051	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides difficile	0.0000000000
ref_mOTU_v2_0052	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Clostridioides|s__Clostridioides difficile	0.0000000000
ref_mOTU_v2_0053	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus|s__Solibacillus sp. [C isronensis/silvestris]	0.0000000000
ref_mOTU_v2_0054	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae|g__Streptomyces|s__Streptomyces cattleya	0.0000000000
ref_mOTU_v2_0055	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter|s__Achromobacter sp. [C insuavis/xylosoxidans]	0.0000000000
ref_mOTU_v2_0056	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia typhi	0.0000000000
ref_mOTU_v2_0057	k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia abortus	0.0000000000
ref_mOTU_v2_0058	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Photorhabdus|s__Photorhabdus temperata	0.0000000000
ref_mOTU_v2_0059	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alteromonas|s__Alteromonas mediterranea	0.0000000000
ref_mOTU_v2_0060	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Alteromonadaceae|g__Alteromonas|s__Alteromonas macleodii	0.0000000000
ref_mOTU_v2_0061	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacteraceae gen. [C Gluconacetobacter/Komagataeibacter]|s__Acetobacteraceae sp. [C Gluconacetobacter sp. SXCC-1/Komagataeibacter rhaeticus]	0.0000000000
ref_mOTU_v2_0062	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus suis	0.0000000000
ref_mOTU_v2_0063	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus suis	0.0000000000
ref_mOTU_v2_0064	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus suis	0.0000000000
ref_mOTU_v2_0065	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus suis	0.0000000000
ref_mOTU_v2_0066	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus suis	0.0000000000
ref_mOTU_v2_0067	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus aureus	0.0000000000
ref_mOTU_v2_0068	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae|g__Brucella|s__Brucella sp. [C abortus/canis/ceti/inopinata/melitensis/microti/neotomae/ovis/pinnipedialis/suis]	0.0000000000
ref_mOTU_v2_0069	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Gallibacterium|s__Gallibacterium anatis [C]	0.0000000000
ref_mOTU_v2_0071	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium acnes [C]	0.0712379010
ref_mOTU_v2_0072	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus oralis [C]	0.0000000000
ref_mOTU_v2_0073	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Tatumella|s__Tatumella ptyseos [C]	0.0000000000
ref_mOTU_v2_0074	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Raoultella|s__Raoultella sp. [C ornithinolytica/planticola]	0.0000000000
ref_mOTU_v2_0075	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Leminorella|s__Leminorella grimontii	0.0000000000
ref_mOTU_v2_0076	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. [C braakii/freundii/Escherichia coli]	0.0000000000
ref_mOTU_v2_0077	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter sp. [C freundii/werkmanii/youngae]	0.0000000000
ref_mOTU_v2_0078	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus|s__Bacillus sp. [C aryabhattai/flexus/megaterium]	0.0000000000
ref_mOTU_v2_0079	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella sp. [C michiganensis/oxytoca]	0.0000000000
ref_mOTU_v2_0080	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter pasteurianus	0.0000000000
ref_mOTU_v2_0081	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium ulcerans	0.0000000000
ref_mOTU_v2_0082	k__Bacteria|p__Tenericutes|c__Mollicutes|o__Mycoplasmatales|f__Mycoplasmataceae|g__Mycoplasma|s__Mycoplasma gallisepticum	0.0000000000
ref_mOTU_v2_0083	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Serratia|s__Serratia plymuthica [C]	0.0000000000
ref_mOTU_v2_0084	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus elgii	0.0000000000
ref_mOTU_v2_0085	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus tyrfis	0.0000000000
ref_mOTU_v2_0086	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas|s__Sphingomonas paucimobilis [C]	0.0000000000
ref_mOTU_v2_0087	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__Gammaproteobacteria gen. incertae sedis|s__gamma proteobacterium SCGC AAA076-D02	0.0000000000
ref_mOTU_v2_0088	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__Gammaproteobacteria gen. incertae sedis|s__gamma proteobacterium SCGC AAA076-P09	0.0000000000
ref_mOTU_v2_0089	k__Bacteria|p__candidatus Marinimicrobia|c__candidatus Marinimicrobia class incertae sedis|o__candidatus Marinimicrobia order incertae sedis|f__candidatus Marinimicrobia fam. incertae sedis|g__candidatus Marinimicrobia gen. incertae sedis|s__Marinimicrobia bacterium SCGC AAA160-I06	0.0000000000
ref_mOTU_v2_0090	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas sp. [C fluorescens/protegens]	0.0000000000
ref_mOTU_v2_0091	k__Bacteria|p__Chlamydiae|c__Chlamydiia|o__Chlamydiales|f__Chlamydiaceae|g__Chlamydia|s__Chlamydia trachomatis	0.0000000000
ref_mOTU_v2_0092	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Taylorella|s__Taylorella asinigenitalis	0.0000000000
ref_mOTU_v2_0093	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia sp. [C endosymbiont/endosymbiont]	0.0000000000
ref_mOTU_v2_0094	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria order incertae sedis|f__Gammaproteobacteria fam. incertae sedis|g__Gammaproteobacteria gen. incertae sedis|s__gamma proteobacterium SCGC AAA168-I18	0.0000000000
ref_mOTU_v2_0095	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Gardnerella|s__Gardnerella vaginalis	0.0000000000
ref_mOTU_v2_0096	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas sp. [C aeruginosa/otitidis]	0.0000000000
ref_mOTU_v2_0097	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia vietnamiensis [C]	0.0000000000
ref_mOTU_v2_0098	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia sp. [C cenocepacia/cepacia/lata/pyrrocinia]	0.0000000000
ref_mOTU_v2_0099	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia|s__Burkholderia sp. [C ambifaria/cenocepacia/cepacia]	0.0000000000
ref_mOTU_v2_0100	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas testosteroni	0.0000000000
ref_mOTU_v2_0101	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Buchnera|s__Buchnera aphidicola	0.0000000000
ref_mOTU_v2_0102	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium sp. [C africanum/bovis/canettii/orygis/tuberculosis]	0.0000000000
ref_mOTU_v2_0103	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium avium [C]	0.0000000000
ref_mOTU_v2_0104	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus pyogenes	0.0000000000
ref_mOTU_v2_0105	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus sp. [C imtechensis/jostii/opacus/wratislaviensis]	0.0000000000
ref_mOTU_v2_0106	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella|s__Bordetella sp. [C bronchiseptica/parapertussis/pertussis]	0.0000000000
ref_mOTU_v2_0107	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus garvieae	0.0000000000
ref_mOTU_v2_0108	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter pylori	0.0000000000
ref_mOTU_v2_0109	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter pylori	0.0000000000
ref_mOTU_v2_0110	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter pylori	0.0000000000
ref_mOTU_v2_0111	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter|s__Helicobacter pylori	0.0000000000
ref_mOTU_v2_0112	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Edwardsiella|s__Edwardsiella sp. [C anguillarum/ictaluri/piscicida/tarda]	0.0000000000
ref_mOTU_v2_0113	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Edwardsiella|s__Edwardsiella tarda	0.0000000000
ref_mOTU_v2_0114	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia alkanivorans	0.0000000000
ref_mOTU_v2_0115	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Gordoniaceae|g__Gordonia|s__Gordonia sp. [C namibiensis/rubripertincta]	0.0000000000
ref_mOTU_v2_0116	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus faecalis [C]	0.0000000000
ref_mOTU_v2_0117	k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota class incertae sedis|o__Nitrosopumilales|f__Nitrosopumilaceae|g__Nitrosopumilus|s__candidatus Nitrosopumilus koreensis	0.0000000000
ref_mOTU_v2_0118	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria monocytogenes	0.0000000000
ref_mOTU_v2_0119	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Erwinia|s__Erwinia amylovora	0.0000000000
ref_mOTU_v2_0120	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__[Enterobacter] aerogenes	0.0000000000
ref_mOTU_v2_0121	k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Sulfolobus acidocaldarius	0.0000000000
ref_mOTU_v2_0122	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Neorhizobium|s__Neorhizobium galegae	0.0000000000
ref_mOTU_v2_0123	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus haemolyticus [C]	0.0000000000
ref_mOTU_v2_0124	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__candidatus Arthromitus|s__candidatus Arthromitus sp. [C SFB-co/SFB-mouse/SFB-mouse-NL]	0.0000000000
ref_mOTU_v2_0125	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus salivarius	0.0000000000
ref_mOTU_v2_0126	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas gingivalis	0.0000000000
ref_mOTU_v2_0127	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas gulae [C]	0.0000000000
ref_mOTU_v2_0128	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Oligotropha|s__Oligotropha carboxidovorans	0.0000000000
ref_mOTU_v2_0129	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia|s__Ralstonia solanacearum	0.0000000000
ref_mOTU_v2_0130	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium hwasookii	0.0000000000
ref_mOTU_v2_0131	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium nucleatum subsp. polymorphum [C]	0.0000000000
ref_mOTU_v2_0132	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella buccae [C]	0.0000000000
ref_mOTU_v2_0133	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia|s__Rickettsia sp. [C buchneri/endosymbiont/monacensis/tamurae]	0.0000000000
