Names	total	elements
adjp_DEU.csv	21	unknown Prevotella [meta_mOTU_v2_6399],
		unknown Clostridium [meta_mOTU_v2_7480],
		Enterococcus faecium/hirae [ref_mOTU_v2_0654],
		Clostridium sp. CAG:510 [meta_mOTU_v2_6178],
		unknown Clostridiales [meta_mOTU_v2_7306],
		unknown Clostridiales [meta_mOTU_v2_6647],
		Megasphaera sp. [ref_mOTU_v2_0965],
		unknown Clostridiales [meta_mOTU_v2_7731],
		unknown Clostridiales [meta_mOTU_v2_6272],
		unknown Clostridiales [meta_mOTU_v2_5591],
		unknown Clostridiales [meta_mOTU_v2_6814],
		unknown Clostridiales [meta_mOTU_v2_7058],
		unknown Clostridium [meta_mOTU_v2_6156],
		Veillonella sp. [ref_mOTU_v2_5068],
		unknown Bacteroidales [meta_mOTU_v2_7089],
		Clostridium sp. CAG:762 [meta_mOTU_v2_6739],
		Butyricicoccus pullicaecorum [ref_mOTU_v2_2510],
		unknown Clostridiales [meta_mOTU_v2_7752],
		Bacteroides sp. 43_108 [meta_mOTU_v2_7407],
		Alloprevotella tannerae [ref_mOTU_v2_4636],
		Clostridium sp. CAG:914 [meta_mOTU_v2_6776],
adjp_FRA.csv	23	Streptococcus anginosus [ref_mOTU_v2_0004],
		Streptococcus sp. HSISM1 [ref_mOTU_v2_0145],
		unknown Prevotella [meta_mOTU_v2_5555],
		unknown Porphyromonas [meta_mOTU_v2_7777],
		Blautia producta [ref_mOTU_v2_1889],
		unknown Clostridiales [meta_mOTU_v2_5517],
		Porphyromonadaceae sp. [ref_mOTU_v2_1091],
		Prevotella copri [ref_mOTU_v2_4448],
		unknown Clostridiales [meta_mOTU_v2_7546],
		unknown Acinetobacter [meta_mOTU_v2_7007],
		Clostridium saccharogumia [ref_mOTU_v2_0473],
		unknown Firmicutes [meta_mOTU_v2_7751],
		Coprococcus eutactus [ref_mOTU_v2_4210],
		Streptococcus sp. 2_1_36FAA [ref_mOTU_v2_1399],
		Parabacteroides johnsonii [ref_mOTU_v2_5296],
		Dialister invisus [meta_mOTU_v2_6402],
		Ruminococcus gnavus [ref_mOTU_v2_0280],
		unknown Clostridiales [meta_mOTU_v2_5961],
		unknown Clostridiales [meta_mOTU_v2_5735],
		unknown Ruminococcus [meta_mOTU_v2_7159],
		unknown Sutterellaceae [meta_mOTU_v2_7053],
		Dialister succinatiphilus [ref_mOTU_v2_4885],
		unknown Firmicutes [meta_mOTU_v2_6730],
adjp_USA.csv	23	Clostridiales bacterium 41_21_two_genomes [meta_mOTU_v2_5482],
		Prevotella sp. CAG:617 [meta_mOTU_v2_6833],
		unknown Prevotella [meta_mOTU_v2_6387],
		Bacteroides sp. CAG:462 [meta_mOTU_v2_5709],
		unknown Prevotella [meta_mOTU_v2_7203],
		unknown Clostridiales [meta_mOTU_v2_6275],
		unknown Clostridiales [meta_mOTU_v2_7685],
		Erysipelotrichaceae sp. [ref_mOTU_v2_4724],
		unknown Clostridium [meta_mOTU_v2_6147],
		Blautia sp. KLE 1732 [ref_mOTU_v2_0859],
		unknown Eggerthella [meta_mOTU_v2_7512],
		unknown Bacteroidales [meta_mOTU_v2_6502],
		unknown Bacteroidaceae [meta_mOTU_v2_7534],
		Prevotella sp. CAG:1092 [meta_mOTU_v2_5903],
		unknown Prevotella [meta_mOTU_v2_6415],
		Dialister invisus [meta_mOTU_v2_7291],
		unknown Prevotella [meta_mOTU_v2_6456],
		unknown Prevotella [meta_mOTU_v2_6911],
		Desulfovibrio sp. [ref_mOTU_v2_1394],
		unknown Clostridiales [meta_mOTU_v2_7202],
		unknown Clostridiales [meta_mOTU_v2_6260],
		Ruminococcus sp. CAG:724 [meta_mOTU_v2_7753],
		Prevotella stercorea [ref_mOTU_v2_1551],
