Names	total	elements
		Clostridium sp. CAG:762 [meta_mOTU_v2_6739],
		unknown Bacteroidales [meta_mOTU_v2_6162],
		unknown Prevotella [meta_mOTU_v2_6911],
		Porphyromonas uenonis [ref_mOTU_v2_2102],
		Clostridium sp. CAG:628 [meta_mOTU_v2_6892],
fc_DEU.csv	13	Bifidobacterium sp. [ref_mOTU_v2_1180],
		Lactobacillus salivarius [ref_mOTU_v2_0125],
		unknown Veillonellaceae [meta_mOTU_v2_6915],
		Pyramidobacter piscolens [ref_mOTU_v2_4064],
		unknown Eggerthellaceae [meta_mOTU_v2_6437],
		unknown Bacteroidaceae [meta_mOTU_v2_7210],
		unknown Clostridium [meta_mOTU_v2_5748],
		Bacteroides sp. CAG:462 [meta_mOTU_v2_5709],
		unknown Sutterella [meta_mOTU_v2_5677],
		unknown Clostridiales [meta_mOTU_v2_5571],
		unknown Prevotella [meta_mOTU_v2_6289],
		unknown Prevotella [meta_mOTU_v2_6697],
		unknown Clostridiales [meta_mOTU_v2_6891],
fc_FRA.csv	8	Prevotella sp. CAG:1092 [meta_mOTU_v2_5903],
		unknown Clostridiales [meta_mOTU_v2_7072],
		unknown Firmicutes [meta_mOTU_v2_6595],
		unknown Prevotella [meta_mOTU_v2_6029],
		Bacteroides barnesiae [ref_mOTU_v2_0452],
		unknown Clostridiales [meta_mOTU_v2_5754],
		unknown Clostridiales [meta_mOTU_v2_6193],
		Bacillus sp. CAG:988 [meta_mOTU_v2_6706],
fc_USA.csv	13	Acidaminococcus fermentans [ref_mOTU_v2_4591],
		unknown Clostridiales [meta_mOTU_v2_6523],
		Bacteroides fragilis [ref_mOTU_v2_0286],
		unknown Prevotella [meta_mOTU_v2_7016],
		unknown Bacteroidales [meta_mOTU_v2_5951],
		Staphylococcus sp. CAG:324 [meta_mOTU_v2_7772],
		unknown Clostridium [meta_mOTU_v2_7389],
		unknown Prevotella [meta_mOTU_v2_6663],
		Streptococcus equinus [ref_mOTU_v2_0793],
		Bacteroides coprophilus [ref_mOTU_v2_4472],
		unknown Firmicutes [meta_mOTU_v2_6237],
		unknown Clostridiales [meta_mOTU_v2_5408],
		Megasphaera elsdenii [ref_mOTU_v2_0252],
